Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Machine Learning Engineer,"$129,337 /yr (est.)","Signal Systems Corporation (SSC) is searching for Machine Learning Engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of underwater applications. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide innovative engineering solutions for both government and commercial customers.
Job Description/Responsibilities:
Design and develop machine learning and supporting signal processing algorithms for detection, estimation, and classification on active and passive acoustic sensor data.
Build large datasets, test machine learning models, and incorporate trained models into larger software products.",-1,Signal Systems Corporation,"Millersville, MD",-1,-1,-1,-1,-1,-1
Machine Learning Scientist,-1,"Novateur stands for Innovation. We value creativity, vision, collaboration, and above all, ambition to innovate. Novateur Research Solutions is an R&D firm located in Northern Virginia. We are looking for Scientists and Mathematicians to join our research team and help us solve challenging scientific and computational problems in machine learning, computer vision, spatiotemporal data mining, and related areas.
As part of the Novateur Team, you will actively collaborate with world-renowned researchers in academia and industry to develop cutting-edge technologies for smart systems. You will have opportunities and professional freedom to create novel research and technical directions in your areas of interest, attend major scientific conferences and seminars, and publish research papers.
What You'll Do:
Collaborate with other researchers at Novateur and academia to solve challenging scientific and operational problems in machine learning, computer vision, spatiotemporal data modeling, and related areas.",-1,Novateur Research Solutions,"Ashburn, VA",-1,-1,-1,-1,-1,-1
Artificial Intelligence / Machine Learning Engineer,"$107,538 /yr (est.)","Job ID: 625623BR
Date posted: Jan. 10, 2023

Locations: Moorestown, New Jersey

Description:By applying for this role you will be considered for enterprise-wide opportunities within Lockheed Martin for the same or similar skill set.

Step into the challenge of engineering a better tomorrow. You'll be backed by the inspiration of Lockheed Martin's culture, based on a heritage of innovation and creativity, serving the needs of our nation and humanity. Here you can make a difference in many ways, from mission-critical ongoing programs to emerging technologies. The opportunities are limitless!

Systems Engineering within the Mission Systems Engineering Center of Excellence (COE) is seeking a candidate to support the design, implementation, analysis, testing, and maintenance of large-scale radar products.

The successful candidate will have strong analytic and communication skills and work well in a dynamic, multi-disciplinary team environment.

The AI/ML Engineer candidate will:

The ability to obtain and maintain a government security clearance is required. US citizenship is needed.

Bachelor's Degree or higher in an Engineering field such as Electrical, Systems Engineering, Computer Science or Computer Engineering, Artificial Intelligence or Machine Learning, including a general knowledge in Math, Physics or other physical sciences

Demonstrated application of Systems design

Demonstrated proficiency in Matlab or Python or C++ or equivalent high-level computing language

Experience with statistical and machine learning techniques, working with complex datasets and building statistical, machine learning, or deep learning models

Strong customer focus with proven ability to drive complex technical issues/challenges to closure

U.S. Citizen with ability to obtain a DoD Secret level clearance

Experience in one or more of the following tools/libraries: TensorFlow, Keras, PyTorch, NumPy, pandas, scikit-learn, Matplotlib

Experience in one or more of the following areas: system analysis, requirements development, algorithm design, or modeling and simulation

Active DoD Secret level clearance or higher
This position requires a government security clearance, you must be a US Citizen for consideration.
Secret

By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.
Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
4x10 hour day, 3 days off per week

Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They're dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin's vast team works with partners around the world to bring proven performance to our customers' toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
Hourly/Non-Exempt
RMS
No
Systems Engineering: Design and Verification
Full-Time
First",4.1,"Lockheed Martin
4.1","Moorestown, NJ",10000+ Employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Senior Quality Data Analyst,"$80,968 /yr (est.)","FIRST SHIFT - Draeger Medical Systems, Inc. - Job-ID V000007415
Andover
Vollzeit

The Job Responsibilities
Develops and implements tools and techniques resulting in recommendations that enable leadership to make data-based decisions; including selection of report architecture and most appropriate modeling and data visualization techniques.
Compiles, analyzes, and effectively presents quality data trending reports to identify opportunities that increase efficiency, ensure quality and decrease cost and meet the need of various internal customers, such as Clinical Engineering, Risk Management and PMS.
Develops, maintains and presents Quality Metrics to CFT/PSB and the Andover Management Team. Maintains a thorough knowledge of new developments, technology and processes. Must be able to create charts (Pareto, 80/20 - Predictive, etc.) and analyze data.












Tiffany Faulhefer
tiffany.faulhefer.contractor@draeger.com",3.8,"Draeger Medical Systems, Inc.
3.8","Andover, MA",10000+ Employees,1889,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $5 billion (USD)
Data Mining Center Journeyman Electrician,$33.00 /hr (est.),"Bitcoin Mining Center Journeyman Electrician:
Looking for highly motivated individuals with knowledge and experience working in data center deployment or other multi-discipline industrial construction projects. The candidate should have a basic knowledge of HSE rules, and some exposure to NEC codes, and UL electrical standards or be extremely trainable. Ideal candidate can read blueprints, use diagnostic tools, and make decisions under pressure.
Requirements/Qualifications:
Available to work full time in 10–12-hour shifts in high heat index and cold weather climates, Able to lift 35 pounds and complete strenuous physical work, assist with loading/unloading of miners, perform daily inspections/audits, assist with troubleshooting of miners by visually inspecting to look for issues (ethernet cables, power cables, etc.) Assist with replacement of deficient machines, communicate safety concerns, assist with additional tasks as assigned by management, flexible schedule with some weekends and after-hours.",-1,Pennum Industries,"Greenville, SC",-1,-1,-1,-1,-1,-1
Data Engineer,"$110,000 /yr (est.)","NATO Data Engineer
Requirements:
Ts/sci or secret clearance
High proficiency level in English language
A Bachelor of Science degree from a recognized university in computer science, IT, software or computer engineering, data science, applied math, physics, statistics, or a related field.
Experience with advanced level SQL, including query optimization, complex joins, development of stored procedures, user-defined functions and working with Analytic Functions in the last 3 years.
Proficient in at least one data manipulation language such as Python, Scala, R, etc.",-1,"Bluemont Technology & Research, Inc.","Norfolk, VA",-1,-1,-1,-1,-1,-1
Senior Algorithms & Machine Learning Scientist,"$129,163 /yr (est.)","Job Summary:

Walgreens, one of the nation's largest drugstore chains, is included in the Retail Pharmacy USA Division of Walgreens Boots Alliance, Inc., the first global pharmacy-led, health and wellbeing enterprise. More than 10 million customers interact with Walgreens each day in communities across America, using the most convenient, multichannel access to consumer goods and services and trusted, cost-effective pharmacy, health and wellness services and advice. Walgreens operates 8,175 drugstores with a presence in all 50 states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands. Walgreens Omni-channel business includes Walgreens.com. Approximately 400 Walgreens stores offer Healthcare Clinic or other provider retail clinic services.

As the neighborhood drugstore and retailer, our goal is to make health and happiness simpler, easier and within reach. And we remain a trusted wellness provider offering convenient access to important health services, such as immunizations and an array of pharmacy services that can help patients improve their health. To our team members, Walgreens represents a unique opportunity to excel in their careers in a welcoming and inclusive environment. We offer the chance to work in a truly supportive environment, and be a part of a progressive organization dedicated to the well-being of our customers, team members and the communities we all call home.




About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170-year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high-quality products and services in communities nationwide.",3.1,"WALGREENS
3.1","Chicago, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Data Scientist/Principal Software Engineer (Onsite),-1,"Date Posted:
2022-09-28-07:00
Country:
United States of America
Location:
CO102: 16800 E Centretech Pkwy,Aurora 16800 East Centretech Pkwy Building S75, Aurora, CO, 80011 USA
Raytheon Intelligence and Space (RIS) is seeking a Data Scientist /Principal Software Engineer with an active TS/SCI Clearance. Relocation assistance available provided candidate meets eligibility requirements.",3.8,"Raytheon Intelligence & Space
3.8","Aurora, CO",10000+ Employees,2020,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist with AI and ML experience,"$140,000 /yr (est.)","Data Scientist with advanced analytics experience
InnoVet Health, a small and growing business that provides health IT professional services to the Department of Veterans Affairs (VA) is looking for a Data Scientist with advanced analytics experience who can turn requirements and research questions into reports, clear insights, predictions, and business intelligence. The position offers stimulating advanced analytics activities (AI/ML), in a rich healthcare environment, interacting with senior staff. This position is full-time and does not require relocating (work remotely). The pay, benefits, and growth potential are competitive.
Responsibilities
Collect, elaborate, and manage requirements from VA customers. Actively participate in setting up and managing new studies.",-1,"innoVet Health, LLC",Remote,-1,-1,-1,-1,-1,-1
"Data Scientist / NLP (Python, Django/Flask, NLP, Clustering, Rest API)","$120,000 /yr (est.)","JOB DESCRIPTION
*** PLEASE NO H1B or GREEN CARD HOLDERS ***
**US CITIZEN ONLY**
**DIRECT GOV CLIENT**
**100% Remote supporting a client in EST**
We are seeking an experienced Data Engineer/Python Backend Services Developer. This individual will be responsible for designing and implementing ML Models and implementing backend API services of large datasets using a modern data stack in an AWS cloud environment. This individual must be a US CITIZEN and should be able to obtain a government trust clearance.",-1,Inner Balance Technology Services,"Washington, DC",-1,-1,-1,-1,-1,-1
Data Scientist-Threat Management,-1,"POSITION DESCRIPTION:
Coordinate with internal and external partners to provide accurate, timely, and relevant analysis for Foreign Access Management. Vet, track, and analyze information to reduce the risk of foreign engagement. Create an accurate risk picture by analyzing timely threat information, foreign access activities, and their impact on personnel, programs, information, and operations. Utilize data science and development skills to automate manual analytic processes, generate analytic models, and enable analysts to exploit DHS and IC data holdings, and establish advanced analysis and data visualization methodologies, models, and tools to derive intelligence outcomes and impacts.
REQUIREMENTS:
TS//SCI clearance",-1,Reithorp Solutions LLC,"Washington, DC",-1,-1,-1,-1,-1,-1
Clinical Data Scientist,"$90,000 /yr (est.)","Position Title: Clinical Data Scientist
Reporting to: Sr. Director, Clinical Development
Hours: Full-Time
Location: on-site in Carlsbad, CA
Compensation: $80K-$100K/ annual. + benefits
n-Lorem Foundation
Though n-Lorem is pioneering a novel non-profit model, to provide personalized experimental ASO treatments for free, for life to patients with the rarest of mutations (nano-rare), we are functionally a biotechnology company. We have a large and growing portfolio of ASO medicine discovery programs, more than 35 ASO medicines in development and multiple clinical programs.",-1,n-Lorem Foundation,"Carlsbad, CA",-1,-1,-1,-1,-1,-1
Sr Data Analyst-Clinical Evidence Strategy & Implementation,$35.50 /hr (est.),"Description:
The Senior Data Analyst, Clinical Evidence Strategy and Implementation will have the opportunity to:
Analyze hundreds of thousands of heterogeneous medical records including lab results, medical history, instrument measurements, hospital procedures, etc.
Interpret complex real-world clinical data
Clearly communicate findings with statistics and data visualization to drive evidence-based decisions.
Evaluate data errors, trends, and collection issues; present findings/recommendations to clinical teams and management for resolution
The essential requirements of the job include:",4,"Sunrise Systems, Inc
4.0","Miami, FL",501 to 1000 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
Statistical Programmer,"$70,000 /yr (est.)","Hiring Statistical Programmer to support Statistical programming activities.
Role provides Statistical programming and Tableau development support to data science and reporting team. Interesting fast paced data mining project.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Two years experience in SAS programming and Reporting
Design, develop and program Tableau Dashboards including user interface
Able to work independently with minimum supervision
Multitask and able to work in fast paced, matrix environment",-1,Clinvia LLC,"Frisco, TX",-1,-1,-1,-1,-1,-1
Machine Learning Engineer,"$112,751 /yr (est.)","Supports and performs the development and programming of machine learning integrated software algorithms to structure, analyze, and leverage data in a production environment.
Core Responsibilities
Leverages data pipeline designs and supports the development of data pipelines to support model development. Proficient with software tools that develop data pipelines in a distributed computing environment (PySprak, GlueETL).
Supports integration of model pipelines in a production environment. Develops understanding of SDLC for model production.
Reviews pipeline designs, makes data model design changes as needed. Documents and reviews design changes with data science teams.",3.7,"Vanguard
3.7","Philadelphia, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
Data Scientist,"$99,288 /yr (est.)","Job Title: Data Architect
Experience Levels: 5+ years
Location: Located in Doral, FL or Tampa, FL with 10% travel requirement
Deployments: None
Clearance: TS/SCI
We seek a dedicated and proactive technical subject matter expert to work in all stages of the data development lifecycle for advanced analytics projects including Big Data, artificial intelligence/machine learning, and other applications to advance current platform capabilities within multiple classification domains. Use data enrichment techniques to feed RDF triplestore and manage data with graph database. Uncovers and explains actionable insights from data by combining scientific method, math and statistics, specialized programming, advanced analytics, AI, and storytelling.",4.7,"Quiet Professionals LLC
4.7","Tampa, FL",201 to 500 Employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD)
Data Scientist TS/SCI with Poly - $200k + 15% 401k,"$150,000 /yr (est.)","Title: Data Scientist (TS/SCI with Poly)
Location: Chantilly, VA
Base Salary: $100,000.00 - $200,000.00 per year
15% Employer 401k contribution (Regardless of Employee Contribution)
PTO: 30 days annual total
Stock Option
$3000 annual training budget
Medical/Dental/Vision: company funded, cash incentives if you waive
Flexible work schedule
Referral bonuses
Paid Paternal and Maternal Leave",-1,Millennial Software,"Chantilly, VA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Senior Data Analyst,-1,"Description
In this role of Senior Data Analyst, you will be adept at working with business and systems partners to turn project requirements into technical specifications to build custom-formatted, fit-for-purpose reports, data sets, data services and data interfaces.

You will apply a strong knowledge of life-cycle data generation to be able to outline critical information, analyze business procedures and recommend specific types of data than can be used to improve them.

Primary responsibilities include:



























































At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth",3.7,"Citizens
3.7","Johnston, RI",10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
Drilling Automation Data Scientist,"$86,585 /yr (est.)","Patterson-UTI DrillingThe New Standard for Drilling Performance
Drill safer, smarter and faster with Patterson-UTI Drilling’s comprehensive fleet of pad-capable rigs featuring advanced walking systems to enhance your operations so you can reach your apex.
Patterson-UTI’s Data Science team is a growing group of energetic, passionate individuals working to improve and inform the Company through data. We work exclusively with the Drilling Automation team to help design, evaluate, and improve novel drilling automation technology.
Some example projects that we are applying analytics and data science to include:
Modeling greenhouse gas emissions from the rig fleet to reduce environmental impact and improve reporting
Designing drilling advisory systems to improve drilling efficiency
Developing automated monitoring, detection, and alerting of operational events",3.7,"Patterson-UTI
3.7","Houston, TX",1001 to 5000 Employees,-1,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD)
AI/ML Systems Engineer,-1,"Date Posted:
2023-03-14
Country:
United States of America
Location:
CO102: 16800 E Centretech Pkwy,Aurora 16800 East Centretech Pkwy Building S75, Aurora, CO, 80011 USA
Position Role Type:
Onsite



The salary range for this role is 75,000 USD - 161,000 USD; however, Raytheon Technologies considers several factors when extending an offer, including but not limited to, the role and associated responsibilities, a candidate’s work experience, location, education/training, and key skills. Hired applicants may be eligible for benefits, including but not limited to, medical, dental, vision, life insurance, short-term disability, long-term disability, 401(k) match, flexible spending accounts, flexible work schedules, employee assistance program, Employee Scholar Program, parental leave, paid time off, and holidays. Specific benefits are dependent upon the specific business unit as well as whether or not the position is covered by a collective-bargaining agreement. Hired applicants may be eligible for annual short-term and/or long-term incentive compensation programs depending on the level of the position and whether or not it is covered by a collective-bargaining agreement. Payments under these annual programs are not guaranteed and are dependent upon a variety of factors including, but not limited to, individual performance, business unit performance, and/or the company’s performance.",3.8,"Raytheon Intelligence & Space
3.8","Aurora, CO",10000+ Employees,2020,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Sr Data Scientist,-1,"Description
Citizens Bank is currently recruiting for a Senior Data Scientist role. If you are an individual passionate to advance in the field of data science (Core AI) or to make an impact on the organization by applying advanced analytics tools and technology (Applied AI), this is the right opportunity for you to join our growing Advanced Analytics team.

Primary responsibilities include:

Development, maintenance, and implementation of Artificial Intelligence (AI) and Machine Learning (ML) models in the domain of Computer Vision, NLP, and Timeseries Modeling
























At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth",3.7,"Citizens
3.7","Johnston, RI",10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
Deep Learning Researcher,"$108,092 /yr (est.)","We're Topaz Labs, an AI tech company that builds software to solve imaging problems like denoising, super-resolution, and deconvolution with deep learning. Over 1M photographers and designers trust us with their work, including on teams at Apple, Netflix, NASA, and more. We've processed over 1 billion images, achieved 1000% revenue growth in the last 4 years, and we're only getting started.
We’re looking for a Deep Learning Researcher to help us push the state-of-the-art in image and video enhancement. Your primary responsibility will be to explore and develop new deep learning models to solve inverse problems in imaging. You'll also evaluate customer feedback and image data to gauge performance and refine your models based on real-world usage.
About us
Rocketship growth and opportunity for impact ($3M $30M revenue in four years)",3.4,"Topaz Labs
3.4","Dallas, TX",1 to 50 Employees,2008,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
"Technical Fellow, Systems Engineering - Artificial Intelligence/Machine Learning",-1,"Date Posted:
2022-12-14-08:00
Country:
United States of America
Location:
AZ805: RMS AP Bldg 805 1151 East Hermans Road Building 805, Tucson, AZ, 85756 USA
Position Role Type:
Hybrid",3.7,"Raytheon Missiles & Defense
3.7","Tucson, AZ",10000+ Employees,2020,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Senior Data Analyst,"$92,500 /yr (est.)","Etainement is a leader in live event ticket pricing, data, and distribution. We trade live event tickets, including concerts, sports, and theatre across multiple online marketplaces using data and proprietary technology.
We are looking for passionate, innovative, and driven people who want to be part of our growing company. We are actively expanding our inventory acquisition team, and we are looking for an Analyst to join our team assisting in developing inventory acquisition strategies using our internal software tools and proprietary data.
https://etainement.co/
Etainement is seeking a Senior Data Analyst for its expanding technology and analytics team. As a Senior Data Analyst, you must have a proven history of building and delivering compelling and actionable data visualizations that impact critical business decisions. You must be skilled in database querying and dashboard creation with diverse data sources. You should be enthusiastic about data and proficient in various tools to deliver precise results. You should have experience supporting data visualization and analytics for multiple departments, possessing a comprehensive understanding of the business to provide scalable dashboards that drive success. You are a team player, who excels in fast-paced environments and collaborating with cross-functional teams.",-1,Etainement,"Raleigh, NC",-1,-1,-1,-1,-1,-1
